年度/Year,月份/Month,能源別/Energy Type,發電站名稱/Station Name,發電量(度)/Power Generation(kWh)
2024,04,太陽能/Solar,核三廠太陽光電/3rd Nuclear Power Plants Solars,375402
2024,04,太陽能/Solar,澎湖七美太陽光電/Penghu Qimei Solars,24544
2024,04,太陽能/Solar,澎湖尖山太陽光電/Penghu jianshan Solars,85961
2024,04,太陽能/Solar,金門金沙太陽光電/Kinmen Jinsha Solars,28953
2024,04,太陽能/Solar,金門塔山太陽光電/Kinmen Tashan Solars,17751
2024,04,太陽能/Solar,金門鵲山太陽光電/Kinmen Queshan Solars,3588
2024,04,太陽能/Solar,馬祖珠山太陽光電/Mazu Zhushan Solars,5186
2024,04,太陽能/Solar,"淡水3.5萬噸配水池太陽光電/Danshui Distribution Reservoir(35,000 tons) Solar",25972
2024,04,太陽能/Solar,中大D/S太陽光電/Zhongda D/S Solars,2339
2024,04,太陽能/Solar,平鎮淨水場太陽光電/Pingzhen Water Treatment Plant Solars,93049
2024,04,太陽能/Solar,大湳淨水場太陽光電/Danan Water Treatment Plant Solars,68064
2024,04,太陽能/Solar,龜山加壓站太陽光電/Guishan Booster Station Solars,24498
2024,04,太陽能/Solar,龍潭淨水場太陽光電/Longtan Water Treatment Plant Solars,29137
2024,04,太陽能/Solar,卓蘭會館太陽光電/Zhuolan Hostel Solars,2220
2024,04,太陽能/Solar,東興淨水場太陽光電/Dongxing Water Treatment Plant Solars,64839
2024,04,太陽能/Solar,后里E/S太陽光電/Houli E/S Solars,8186
2024,04,太陽能/Solar,中部儲運中心太陽光電/Central Storage and Transportation Center Solars,7063
2024,04,太陽能/Solar,東勢新伯公太陽光電/Dongshi Xinbogong Solars,73210
2024,04,太陽能/Solar,嘉義民雄太陽光電/Jiayi Minxiong Solars,4117
2024,04,太陽能/Solar,嘉義分所太陽光電/Chiayi Agricultural Experiment Branch Solars,30111
2024,04,太陽能/Solar,義竹工作站太陽光電/Yizhu Workstation Solars,37055
2024,04,太陽能/Solar,路北E/S太陽光電/Lubei E/S Solars,4709
2024,04,太陽能/Solar,蘭嶼電廠太陽光電/Lanyu Power Plant Solars,3688
2024,04,太陽能/Solar,蘭嶼貯存場太陽光電/Lanyu Storage Unit Solars,4312
2024,04,地熱/Geothermal,仁澤地熱/Renze Geothermal,319028
2024,05,陸域風力/Onshore Wind,石門風力/Shimen Wind Power,234153
2024,05,陸域風力/Onshore Wind,林口風力/Linkou Wind Power,445720
2024,05,陸域風力/Onshore Wind,蘆竹風力/Luzhu Wind Power,927931
2024,05,陸域風力/Onshore Wind,觀園風力/Guanyuan Wind Power,6101815
2024,05,陸域風力/Onshore Wind,大潭風力/Datan Wind Power,1593811
2024,05,陸域風力/Onshore Wind,新竹香山風力/Hsinchu Xiangshan Wind Power,573903
2024,05,陸域風力/Onshore Wind,台中港區風力/Taichung Harbor Wind Power,3812811
2024,05,陸域風力/Onshore Wind,台中電廠風力/Taichung Power Plant Wind Power,169786
2024,05,陸域風力/Onshore Wind,彰工風力Changgong Wind Power,10805496
2024,05,陸域風力/Onshore Wind,彰化王功風力/Changhua Wanggong Wind Power,3489308
2024,05,陸域風力/Onshore Wind,彰化永興風力/Changhua Yongxing Wind Power,1488152
2024,05,陸域風力/Onshore Wind,雲林麥寮風力/Yunlin Mailiao Wind Power,2419301
2024,05,陸域風力/Onshore Wind,雲林四湖風力/Yunlin Sihu Wind Power,2129907
2024,05,陸域風力/Onshore Wind,恆春風力/Hengchun Wind Power,900859
2024,05,陸域風力/Onshore Wind,中屯風力/Zhongtun Wind Power,-
2024,05,陸域風力/Onshore Wind,澎湖湖西風力/Penghu Huxi Wind Power,763117
2024,05,陸域風力/Onshore Wind,金沙風力/Jinsha Wind Power,763117
2024,05,陸域風力/Onshore Wind,澎湖龍門風力/Penghu Longmen Wind Power,1139426
2024,05,離岸風力/Offshore Wind,離岸一期風力/Offshore Phase1 Wind Power,22118130
2024,05,太陽能/Solar,大潭電廠太陽光電/Datang Power Plant Solars,136105
2024,05,太陽能/Solar,北部儲運中心太陽光電/Northern Storage and Transportation Center Solars,100095
2024,05,太陽能/Solar,龍潭E/S太陽光電/Longtan E/S Solars,17368
