hour,node,cpu_load,cpu_alloc,cpu_idle,cpu_total,gpu_power_usage,gpu_mem_used,gpu_gpu_usage,gpu_fan
2024-11-04 21:00:00,node-167,4.0,4.0,0.0,4.0,,,,
2024-11-04 21:00:00,node-165,4.005833333333333,4.0,0.0,4.0,,,,
2024-11-04 21:00:00,node-164,1.0258333333333334,2.0,2.0,4.0,59.969166666666666,296.0,1.8333333333333333,0.0
2024-11-04 21:00:00,node-163,4.0008333333333335,4.0,0.0,4.0,,,,
2024-11-04 21:00:00,node-12,44.119166666666665,44.0,0.0,44.0,,,,
2024-11-04 21:00:00,node-13,44.11333333333334,44.0,0.0,44.0,,,,
2024-11-04 21:00:00,node-14,95.11166666666666,95.0,1.0,96.0,,,,
2024-11-04 21:00:00,node-141,1.0025,2.0,2.0,4.0,69.02666666666666,295.8333333333333,1.1666666666666667,29.0
2024-11-04 21:00:00,node-11,44.185833333333335,44.0,0.0,44.0,,,,
2024-11-04 21:00:00,node-16,0.0008333333333333334,0.0,4.0,4.0,34.530833333333334,1.0,0.0,0.0
2024-11-04 21:00:00,node-161,1.0416666666666667,2.0,2.0,4.0,56.3825,292.3333333333333,1.25,0.0
2024-11-04 21:00:00,node-162,4.138333333333333,4.0,0.0,4.0,104.31333333333333,7397.0,32.833333333333336,0.0
2024-11-04 21:00:00,node-15,0.03666666666666667,1.0,3.0,4.0,36.2075,6863.0,0.0,0.0
2024-11-04 22:00:00,node-166,1.0116666666666667,2.0,2.0,4.0,75.78166666666667,298.3333333333333,2.1666666666666665,0.0
2024-11-04 22:00:00,node-32,24.87,32.0,0.0,32.0,107.10833333333333,7670.0,31.052083333333332,0.0
2024-11-04 22:00:00,node-19,78.94083333333333,79.0,1.0,80.0,,,,
2024-11-04 22:00:00,node-18,36.028333333333336,36.0,0.0,36.0,,,,
2024-11-04 22:00:00,node-172,0.0,0.0,4.0,4.0,55.23583333333334,1.0,0.0,30.0
2024-11-04 22:00:00,node-171,0.004166666666666667,0.0,4.0,4.0,59.74666666666667,1.0,0.0,30.0
2024-11-04 22:00:00,node-17,36.0,36.0,0.0,36.0,,,,
2024-11-04 22:00:00,node-168,1.0208333333333333,2.0,2.0,4.0,63.55833333333334,295.3333333333333,1.0833333333333333,0.0
2024-11-04 22:00:00,node-167,4.0216666666666665,4.0,0.0,4.0,,,,
2024-11-04 22:00:00,node-165,4.011666666666667,4.0,0.0,4.0,,,,
2024-11-04 22:00:00,node-11,44.15833333333333,44.0,0.0,44.0,,,,
2024-11-04 22:00:00,node-163,4.008333333333334,4.0,0.0,4.0,,,,
2024-11-04 22:00:00,node-162,3.985,4.0,0.0,4.0,103.89083333333333,7397.0,34.416666666666664,0.0
2024-11-04 22:00:00,node-161,1.0408333333333333,2.0,2.0,4.0,53.20166666666666,297.5,1.4166666666666667,0.0
2024-11-04 22:00:00,node-16,0.0008333333333333334,0.0,4.0,4.0,34.565,1.0,0.0,0.0
2024-11-04 22:00:00,node-15,0.02,1.0,3.0,4.0,36.18833333333333,6863.0,0.0,0.0
2024-11-04 22:00:00,node-141,1.0008333333333332,2.0,2.0,4.0,69.0625,296.3333333333333,1.3333333333333333,29.0
2024-11-04 22:00:00,node-14,95.17083333333333,95.0,1.0,96.0,,,,
2024-11-04 22:00:00,node-13,44.14166666666667,44.0,0.0,44.0,,,,
2024-11-04 22:00:00,node-12,44.2175,44.0,0.0,44.0,,,,
2024-11-04 22:00:00,node-164,1.0233333333333334,2.0,2.0,4.0,59.0525,297.0,2.1666666666666665,0.0
2024-11-04 23:00:00,node-167,4.010833333333333,4.0,0.0,4.0,,,,
2024-11-04 23:00:00,node-168,1.015,2.0,2.0,4.0,63.53916666666667,295.5,2.0833333333333335,0.0
2024-11-04 23:00:00,node-17,36.013333333333335,36.0,0.0,36.0,,,,
2024-11-04 23:00:00,node-171,0.0,0.0,4.0,4.0,59.60916666666666,1.0,0.0,30.0
2024-11-04 23:00:00,node-166,1.0291666666666666,2.0,2.0,4.0,75.38083333333333,298.8333333333333,2.25,0.0
2024-11-04 23:00:00,node-18,36.016666666666666,36.0,0.0,36.0,,,,
2024-11-04 23:00:00,node-19,78.96833333333333,79.0,1.0,80.0,,,,
2024-11-04 23:00:00,node-32,25.895,32.0,0.0,32.0,126.98645833333335,7670.0,34.947916666666664,0.0
2024-11-04 23:00:00,node-172,0.0,0.0,4.0,4.0,54.846666666666664,1.0,0.0,30.0
2024-11-04 23:00:00,node-165,4.006666666666667,4.0,0.0,4.0,,,,
2024-11-04 23:00:00,node-15,0.0275,1.0,3.0,4.0,36.193333333333335,6863.0,0.0,0.0
2024-11-04 23:00:00,node-163,4.0025,4.0,0.0,4.0,,,,
2024-11-04 23:00:00,node-12,44.1625,44.0,0.0,44.0,,,,
2024-11-04 23:00:00,node-13,44.104166666666664,44.0,0.0,44.0,,,,
2024-11-04 23:00:00,node-14,95.10583333333334,95.0,1.0,96.0,,,,
2024-11-04 23:00:00,node-141,1.0191666666666668,2.0,2.0,4.0,68.98416666666667,299.3333333333333,1.25,29.0
2024-11-04 23:00:00,node-164,1.0116666666666667,2.0,2.0,4.0,59.73916666666667,291.5,2.1666666666666665,0.0
2024-11-04 23:00:00,node-16,0.0016666666666666668,0.0,4.0,4.0,34.556666666666665,1.0,0.0,0.0
2024-11-04 23:00:00,node-161,1.0266666666666666,2.0,2.0,4.0,56.38333333333333,295.5,2.0,0.0
